arrived_this_window_sum,controller,extended_total,max_global_queue,max_global_wait,max_target_queue,max_target_wait,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,recovered_total,samples,seed,sim_seconds,spawned_total,total_arrived,total_reward
4481,fixed_cycle,0,986.0,54803.0,0.0,0.0,1440.0831024930749,0.0,4.729365373479716,750.617728531856,32443.626038781164,0.0,0.0,2136,361,42,3600.0,5680,4481,0.0
5542,all_model,0,823.0,42812.0,0.0,0.0,1474.1108033240998,0.0,5.497693720857062,640.3213296398892,24503.180055401663,0.0,0.0,1837,361,42,3600.0,7849,5542,0.0
4446,fixed_cycle,0,985.0,57547.0,0.0,0.0,1439.9002770083102,0.0,4.593587358916631,774.6925207756233,35434.40997229917,0.0,0.0,2077,361,43,3600.0,5754,4446,0.0
5529,all_model,0,862.0,54853.0,0.0,0.0,1474.1135734072022,0.0,5.453861279474521,649.8781163434903,25560.529085872575,0.0,0.0,1864,361,43,3600.0,8180,5529,0.0
4248,fixed_cycle,0,956.0,74986.0,0.0,0.0,1438.7756232686982,0.0,4.518547807920121,785.2437673130194,39391.54293628809,0.0,0.0,2139,361,44,3600.0,6651,4248,0.0
5664,all_model,0,857.0,53951.0,0.0,0.0,1472.7202216066482,0.0,5.567999912754542,637.5761772853185,26413.31024930748,0.0,0.0,1902,361,44,3600.0,10607,5664,0.0
