arrived_this_window_sum,controller,extended_total,max_global_queue,max_global_wait,max_target_queue,max_target_wait,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,recovered_total,samples,seed,sim_seconds,spawned_total,total_arrived,total_reward
3981,all_model,0,259.0,8518.0,0.0,0.0,743.9445983379501,0.0,7.702238246393939,198.55678670360112,5199.293628808864,0.0,0.0,2211,361,42,3600.0,4431,3981,0.0
4305,all_model,0,248.0,10521.0,0.0,0.0,743.972299168975,0.0,8.164913869763584,172.7146814404432,4460.628808864266,0.0,0.0,2558,361,43,3600.0,4751,4305,0.0
4447,all_model,0,224.0,8041.0,0.0,0.0,743.7340720221607,0.0,8.210092070367859,169.1274238227147,4281.224376731302,0.0,0.0,2249,361,44,3600.0,4896,4447,0.0
3631,native_sumo,0,396.0,13054.0,0.0,0.0,744.1246537396122,0.0,7.784315191083346,205.79778393351802,5377.994459833795,0.0,0.0,5434,361,42,3600.0,4176,3631,0.0
3514,native_sumo,0,419.0,21692.0,0.0,0.0,743.3905817174515,0.0,7.669897674032921,212.9612188365651,6657.313019390582,0.0,0.0,5464,361,43,3600.0,5185,3514,0.0
3769,native_sumo,0,381.0,9556.0,0.0,0.0,744.0692520775623,0.0,8.031446562426096,189.56786703601108,4092.750692520776,0.0,0.0,5527,361,44,3600.0,4219,3769,0.0
