arrived_this_window_sum,controller,extended_total,max_global_queue,max_global_wait,max_target_queue,max_target_wait,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,recovered_total,samples,seed,sim_seconds,spawned_total,total_arrived,total_reward
2572,fixed_cycle,0,533.0,35458.0,25.0,1438.0,632.0611111111111,0.0,2.8832391989268737,410.55833333333334,22419.526388888888,7.151388888888889,323.4125,1434,720,42,3600.0,3047,2572,0.0
2405,model,0,526.0,39422.0,15.0,393.0,632.1527777777778,0.0,2.7716616974018935,415.7680555555556,23677.020833333332,3.4444444444444446,95.47777777777777,1840,720,42,3600.0,2890,2405,-1257.7062784259906
2956,all_model,0,493.0,34734.0,19.0,449.0,631.3444444444444,0.0,3.248936798814407,366.7708333333333,17640.88472222222,4.280555555555556,113.45138888888889,1830,720,42,3600.0,3453,2956,0.0
2257,fixed_cycle,0,535.0,39234.0,20.0,1022.0,632.0708333333333,0.0,2.610072362806926,427.77916666666664,24442.223611111112,5.644444444444445,231.46666666666667,1565,720,43,3600.0,2737,2257,0.0
2360,model,0,546.0,43404.0,14.0,715.0,631.7430555555555,0.0,2.672778168629482,421.3013888888889,25103.431944444445,3.348611111111111,104.30416666666666,1910,720,43,3600.0,2846,2360,-1307.0860601942986
3331,all_model,0,444.0,28606.0,14.0,401.0,629.1430555555555,0.0,3.543372578950973,350.8125,16260.822222222223,4.444444444444445,120.14444444444445,2004,720,43,3600.0,3873,3331,0.0
2170,fixed_cycle,0,534.0,42157.0,29.0,971.0,632.6472222222222,0.0,2.5952413649136226,427.75555555555553,24704.45,5.888888888888889,220.275,1414,720,44,3600.0,2670,2170,0.0
2252,model,0,529.0,42130.0,22.0,625.0,632.4958333333333,0.0,2.6221601883123906,428.26666666666665,25848.49722222222,3.7222222222222223,109.95416666666667,1707,720,44,3600.0,2739,2252,-1349.50515644392
2419,all_model,0,518.0,41140.0,20.0,620.0,631.3138888888889,0.0,2.726792037395375,401.1361111111111,20723.7875,3.411111111111111,92.32222222222222,1873,720,44,3600.0,2896,2419,0.0
