arrived_this_window_sum,controller,extended_total,max_global_queue,max_global_wait,max_target_queue,max_target_wait,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,recovered_total,samples,seed,sim_seconds,spawned_total,total_arrived,total_reward
5840,native_sumo,0,934.0,51944.0,0.0,0.0,1472.2049861495846,0.0,6.278490073268638,570.9196675900278,23035.462603878117,0.0,0.0,5461,361,42,3600.0,11048,5840,0.0
4954,all_model,0,773.0,44697.0,0.0,0.0,1473.573407202216,0.0,5.920059831341091,580.7368421052631,21750.598337950138,0.0,0.0,4202,361,42,3600.0,8610,4954,0.0
5321,native_sumo,0,1011.0,62519.0,0.0,0.0,1472.0581717451523,0.0,5.860865738609458,624.9085872576177,28273.185595567866,0.0,0.0,4998,361,43,3600.0,11497,5321,0.0
4849,all_model,0,765.0,37689.0,0.0,0.0,1473.8504155124654,0.0,5.94721974239611,571.9695290858725,20575.1135734072,0.0,0.0,4403,361,43,3600.0,8080,4849,0.0
5442,native_sumo,0,970.0,53541.0,0.0,0.0,1470.7202216066482,0.0,6.008721492758705,604.6814404432133,26093.551246537398,0.0,0.0,5310,361,44,3600.0,13432,5442,0.0
4950,all_model,0,742.0,44879.0,0.0,0.0,1472.8310249307478,0.0,5.878696321224937,577.6869806094182,22030.20775623269,0.0,0.0,4198,361,44,3600.0,10402,4950,0.0
