arrived_this_window_sum,controller,extended_total,max_global_queue,max_global_wait,max_target_queue,max_target_wait,mean_active_vehicles,mean_ambulance_count,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,recovered_total,samples,seed,sim_seconds,spawned_total,total_arrived,total_reward
424,fixed_cycle,0,958.0,60330.0,0.0,0.0,1435.3287671232877,0.0,4.676721587801246,764.3835616438356,35233.30136986302,0.0,0.0,150,73,42,3600.0,571,4347,0.0
601,all_model,0,747.0,36297.0,0.0,0.0,1475.2160664819944,0.0,5.831489875281884,596.9058171745153,21021.21329639889,0.0,0.0,0,361,42,3600.0,851,5977,0.0
433,fixed_cycle,0,926.0,56651.0,0.0,0.0,1434.5890410958905,0.0,4.496333655347109,786.1095890410959,36634.91780821918,0.0,0.0,184,73,43,3600.0,629,4326,0.0
528,all_model,0,939.0,66426.0,0.0,0.0,1475.6177285318558,0.0,4.8601723324674175,729.5983379501386,33230.73684210526,0.0,0.0,0,361,43,3600.0,291,4948,0.0
413,fixed_cycle,0,961.0,63684.0,0.0,0.0,1434.4520547945206,0.0,4.590382912162111,774.3561643835617,36688.260273972606,0.0,0.0,188,73,44,3600.0,667,4314,0.0
530,all_model,0,915.0,55257.0,0.0,0.0,1474.8808864265927,0.0,5.327724596481325,665.9861495844875,27332.759002770083,0.0,0.0,0,361,44,3600.0,651,5359,0.0
