scope,map,rate,comparison,candidate,baseline,metric,direction,n,native_mean,model_mean,aggregate_improvement_pct,mean_paired_improvement_pct,paired_delta_mean,paired_delta_sd,paired_delta_ci95_low,paired_delta_ci95_high,wins,losses,ties,ci_excludes_zero_in_favor_of_model,paired_t_pvalue,paired_effect_size_dz,holm_adjusted_pvalue,holm_significant_in_favor
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,total_arrived,higher,30,550.7666666666667,479.1333333333333,-13.006112691399865,-12.952191336354323,-71.63333333333334,19.84332309025804,-79.04211998335093,-64.22454668331575,0,30,0,no,2.2381416032918806e-18,-3.609946429209798,2.5962442598185815e-16,no
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,mean_avg_speed_mps,higher,30,5.20928356188333,4.767727814652479,-8.476323893399544,-8.468877315385267,-0.4415557472308516,0.16246088220227245,-0.5022128261755167,-0.38089866828618657,0,30,0,no,4.0842452452391236e-15,-2.717920407948365,3.96171788788195e-13,no
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,mean_global_queue,lower,30,144.9568306010929,167.55519125683062,-15.589717684933541,-15.694891748969306,-22.59836065573771,9.911963393848506,-26.29913303815488,-18.89758827332054,0,30,0,no,3.422236903502868e-13,-2.279907598303132,2.874678998942409e-11,no
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,max_global_queue,lower,30,353.26666666666665,322.6,8.680883185506689,8.529121128364247,30.666666666666668,24.561440670614008,21.496303773418127,39.83702955991521,28,2,0,yes,1.643222876327263e-07,1.2485695394634209,8.216114381636314e-06,yes
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,mean_global_wait,lower,30,3176.339344262295,8867.0956284153,-179.16084106166824,-180.3287517653864,-5690.756284153005,909.3444116914488,-6030.272942071822,-5351.239626234188,0,30,0,no,5.106314906555458e-25,-6.25808682715471,7.557346061702078e-23,no
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,max_global_wait,lower,30,10264.833333333334,20784.433333333334,-102.48193670947734,-104.17909721159393,-10519.6,3391.503985366761,-11785.866206319175,-9253.333793680826,0,30,0,no,1.2983287703548424e-16,-3.1017507410837966,1.3892117842796813e-14,no
condition,melbourne,12p0,learned_vs_native,all_model,native_sumo,recovered_total,lower,30,851.8333333333334,309.8,63.6313832909411,63.589398682873004,542.0333333333333,51.489860624461166,522.8088621965882,561.2578044700784,30,0,0,yes,1.7937307059687182e-31,10.52699165932158,2.9596556648483853e-29,yes
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,total_arrived,higher,30,550.7666666666667,568.4666666666667,3.2137021122072347,3.2782515214881562,17.7,22.31305478398472,9.369103927161449,26.03089607283855,23,7,0,yes,0.0001557623588304112,0.7932575871549529,0.006697781429707682,yes
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,mean_avg_speed_mps,higher,30,5.20928356188333,6.012671862238415,15.422241673183809,15.434827175554412,0.8033883003550842,0.14901837205392113,0.7477501735928147,0.8590264271173538,30,0,0,yes,3.42952430773e-23,5.391203039477471,4.3554958708171e-21,yes
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,mean_global_queue,lower,30,144.9568306010929,110.38032786885246,23.852965457965624,23.781285174503626,34.576502732240435,9.164646911421343,31.15475157792909,37.99825388655178,30,0,0,yes,6.757303315196193e-19,3.772813406389922,7.635752746171699e-17,yes
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,max_global_queue,lower,30,353.26666666666665,214.63333333333333,39.24325344404605,39.1323243238938,138.63333333333333,24.789435087432366,129.37784548475753,147.88882118190912,30,0,0,yes,1.2233994907463026e-23,5.592436166632011,1.5904193379701935e-21,yes
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,mean_global_wait,lower,30,3176.339344262295,3584.212568306011,-12.840983907481217,-13.151218955075153,-407.8732240437159,661.4319834739318,-654.8282540438145,-160.91819404361723,10,20,0,no,0.0020997391816400036,-0.6166518012955914,0.06509191463084012,no
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,max_global_wait,lower,30,10264.833333333334,9325.866666666667,9.147412687330535,8.383203484457885,938.9666666666667,2478.6734979007224,13.518694194003388,1864.4146391393301,19,11,0,yes,0.04697675304065657,0.37881821363802504,1.0,no
condition,melbourne,12p0,max_pressure_vs_native,max_pressure,native_sumo,recovered_total,lower,30,851.8333333333334,377.3333333333333,55.703384856192535,55.604820988301995,474.5,63.29610218429045,450.8675008098141,498.1324991901859,30,0,0,yes,3.0106187647152906e-27,7.496512164658488,4.4557157717786305e-25,yes
condition,melbourne,12p0,learned_vs_max_pressure,all_model,max_pressure,total_arrived,higher,30,568.4666666666667,479.1333333333333,-15.714788319455852,-15.665021732390363,-89.33333333333333,18.09807254613202,-96.0905058926342,-82.57616077403246,0,30,0,no,4.0582261169540276e-22,-4.936068915936905,6.249668220109203e-20,no
condition,melbourne,12p0,learned_vs_max_pressure,all_model,max_pressure,mean_avg_speed_mps,higher,30,6.012671862238415,4.767727814652479,-20.705338260758918,-20.688243309120097,-1.2449440475859357,0.16180144711897057,-1.3053549170716559,-1.1845331781002155,0,30,0,no,1.4320237020372111e-27,-7.694270167253473,2.405799819422515e-25,no
condition,melbourne,12p0,learned_vs_max_pressure,all_model,max_pressure,mean_global_queue,lower,30,110.38032786885246,167.55519125683062,-51.798055407037786,-52.27150348559057,-57.17486338797814,8.644076430264738,-60.40225215582612,-53.947474620130166,0,30,0,no,1.062212540032215e-25,-6.614340334589924,1.7314064402525105e-23,no
condition,melbourne,12p0,learned_vs_max_pressure,all_model,max_pressure,max_global_queue,lower,30,214.63333333333333,322.6,-50.30284205621992,-51.2198199624174,-107.96666666666667,23.070332244791306,-116.58030304043483,-99.35303029289851,0,30,0,no,1.7924569670531676e-21,-4.679892145508342,2.7424591595913466e-19,no
condition,melbourne,12p0,learned_vs_max_pressure,all_model,max_pressure,mean_global_wait,lower,30,3584.212568306011,8867.0956284153,-147.39312915824388,-152.87563260893998,-5282.8830601092895,816.1934901003433,-5587.620497774427,-4978.145622444152,0,30,0,no,1.9644077326517162e-25,-6.472586616023865,3.1823405268957804e-23,no
condition,melbourne,12p0,learned_vs_max_pressure,all_model,max_pressure,max_global_wait,lower,30,9325.866666666667,20784.433333333334,-122.86865206450875,-133.72148644632188,-11458.566666666668,3416.0451693223517,-12733.995672746689,-10183.137660586646,0,30,0,no,1.6165354628818752e-17,-3.354336988740617,2.279315002663444e-15,no
condition,melbourne,12p0,learned_vs_max_pressure,all_model,max_pressure,recovered_total,lower,30,377.3333333333333,309.8,17.897526501766777,17.081017288896998,67.53333333333333,48.498655035267575,49.425671308442794,85.64099535822388,27,3,0,yes,2.0775351941134127e-08,1.392478477686113,2.2229626577013514e-06,yes
condition,melbourne,12p0,schema_v3_vs_native,schema_v3,native_sumo,total_arrived,higher,30,550.7666666666667,566.3333333333334,2.826363251225574,2.88430617849419,15.566666666666666,22.509282887110242,7.162506043118444,23.97082729021489,23,6,1,yes,0.0007094123337610451,0.6915665303393913,0.019863545345309264,yes
condition,melbourne,12p0,schema_v3_vs_native,schema_v3,native_sumo,mean_avg_speed_mps,higher,30,5.20928356188333,5.745632570657081,10.296022522142046,10.315122357995218,0.536349008773751,0.1646202393849065,0.4748857031404134,0.5978123144070887,30,0,0,yes,3.518642860476833e-17,3.258098826594995,4.292744289781736e-15,yes
condition,melbourne,12p0,schema_v3_vs_native,schema_v3,native_sumo,mean_global_queue,lower,30,144.9568306010929,114.79289617486339,20.808908625518807,20.741752762691608,30.163934426229506,9.414498070069975,26.648897791443563,33.67897106101545,30,0,0,yes,5.4954176713812394e-17,3.203987530904588,6.539547028943675e-15,yes
condition,melbourne,12p0,schema_v3_vs_native,schema_v3,native_sumo,max_global_queue,lower,30,353.26666666666665,223.5,36.73334591432345,36.62651527434934,129.76666666666668,27.91203341205012,119.34531236137059,140.18802097196277,30,0,0,yes,2.1532280164745053e-21,4.649129812614945,2.863793261911092e-19,yes
condition,melbourne,12p0,schema_v3_vs_native,schema_v3,native_sumo,mean_global_wait,lower,30,3176.339344262295,3871.850819672131,-21.896636348575292,-22.55226577109015,-695.5114754098361,765.0046827366933,-981.1368444511288,-409.88610636854327,4,26,0,no,2.6840829809596278e-05,-0.9091597621621669,0.0010199515327646586,no
condition,melbourne,12p0,schema_v3_vs_native,schema_v3,native_sumo,max_global_wait,lower,30,10264.833333333334,10384.6,-1.166766792771434,-1.7599331626561139,-119.76666666666667,2489.3873873641714,-1049.2148220152283,809.6814886818948,14,16,0,no,0.7940176647291531,-0.048110899603086184,1.0,no
condition,melbourne,12p0,schema_v3_vs_native,schema_v3,native_sumo,recovered_total,lower,30,851.8333333333334,354.43333333333334,58.3917041674819,58.29336269743534,497.4,59.66261464440606,475.1241150148066,519.6758849851933,30,0,0,yes,1.4462183783473298e-28,8.336879014849476,2.270562854005308e-26,yes
condition,melbourne,12p0,schema_v3_vs_max_pressure,schema_v3,max_pressure,total_arrived,higher,30,568.4666666666667,566.3333333333334,-0.37527852703178005,-0.34194961275068436,-2.1333333333333333,16.577369978446484,-8.322729979755607,4.05606331308894,11,16,3,no,0.4865194104435635,-0.12868949273057453,1.0,no
condition,melbourne,12p0,schema_v3_vs_max_pressure,schema_v3,max_pressure,mean_avg_speed_mps,higher,30,6.012671862238415,5.745632570657081,-4.441274988885217,-4.4059371348267105,-0.2670392915813332,0.16906126389138998,-0.33016071682126985,-0.20391786634139658,3,27,0,no,1.5841368898411388e-09,-1.579541554550824,2.1069020634887145e-07,no
condition,melbourne,12p0,schema_v3_vs_max_pressure,schema_v3,max_pressure,mean_global_queue,lower,30,110.38032786885246,114.79289617486339,-3.997603912948768,-4.265445281971151,-4.412568306010928,8.662023305044642,-7.646657794583655,-1.1784788174382004,9,21,0,no,0.009215246768958772,-0.5094154276219864,0.39625561106522716,no
condition,melbourne,12p0,schema_v3_vs_max_pressure,schema_v3,max_pressure,max_global_queue,lower,30,214.63333333333333,223.5,-4.131076254076723,-4.688950075461199,-8.866666666666667,26.096285022087397,-18.6100855087262,0.876752175392868,11,19,0,no,0.07291288306858522,-0.3397673906137249,1.0,no
condition,melbourne,12p0,schema_v3_vs_max_pressure,schema_v3,max_pressure,mean_global_wait,lower,30,3584.212568306011,3871.850819672131,-8.025144878671782,-10.122321291530175,-287.6382513661202,799.0510336475911,-585.975309319756,10.698806587515662,12,18,0,no,0.058254966101944396,-0.35997481919656527,1.0,no
condition,melbourne,12p0,schema_v3_vs_max_pressure,schema_v3,max_pressure,max_global_wait,lower,30,9325.866666666667,10384.6,-11.352653551412562,-15.580743865569055,-1058.7333333333333,2653.143417797519,-2049.3221296227302,-68.14453704393623,11,19,0,no,0.03706108544451109,-0.3990486628921969,1.0,no
condition,melbourne,12p0,schema_v3_vs_max_pressure,schema_v3,max_pressure,recovered_total,lower,30,377.3333333333333,354.43333333333334,6.06890459363957,5.513037564303358,22.9,34.64136455065005,9.966154290092172,35.83384570990783,22,8,0,yes,0.0011081100907018126,0.6610594096695384,0.06427038526070514,no
