ambulance_censored_total,ambulance_completed_total,ambulance_completion_rate,ambulance_departed_total,ambulance_removed_total,ambulance_spawned_total,arrived_this_window_sum,controller,demand_mode,demand_route_file,extended_total,max_global_queue,max_global_wait,max_target_queue,max_target_wait,max_tls_spillback,max_tls_starvation,mean_active_vehicles,mean_ambulance_count,mean_ambulance_seconds_per_km,mean_ambulance_stopped_fraction,mean_ambulance_stopped_seconds,mean_ambulance_time_loss_s,mean_ambulance_trip_time_s,mean_avg_speed_mps,mean_global_queue,mean_global_wait,mean_target_queue,mean_target_wait,mean_tls_spillback,mean_tls_starvation,median_ambulance_trip_time_s,p90_ambulance_stopped_seconds,p90_ambulance_trip_time_s,policy_decisions,policy_forced_switches,policy_invalid_actions,policy_switch_rate,policy_switches,recovered_total,samples,seed,sim_seconds,spawned_total,total_arrived,total_reward
8,0,0.0,8,0,8,14,native_sumo,active_population,,0,94.0,2290.0,0.0,0.0,,,272.2857142857143,0.0,0.0,0.08635388392640514,6.375,22.83317991098053,0.0,7.7537599728525555,45.285714285714285,848.5714285714286,0.0,0.0,,,0.0,16.299999999999997,0.0,,,,,,46,7,42,120.0,223,14,0.0
6,0,0.0,8,2,8,9,all_model,active_population,,0,106.0,2483.0,0.0,0.0,0.0,0.0,276.14285714285717,0.0,0.0,0.018340550468359456,1.625,14.645821391685761,0.0,7.662042933790299,45.714285714285715,793.7142857142857,0.0,0.0,0.0,0.0,0.0,3.9999999999999982,0.0,132,0,0,0.5,66,40,7,42,120.0,231,9,0.0
