#{"t_start": 1781578872.6168802, "env_id": "None"}
r,l,t
-16.049251,60,42.719377
-15.973215,60,86.133423
-14.52175,60,130.077406
-13.301085,60,173.667302
-13.822213,60,217.402749
-15.330955,60,261.447296
-17.438253,60,305.292324
-15.22583,60,349.706412
-17.932845,60,393.491036
-15.598394,60,437.201675
